"per.locus" "global"
"Paur05" 0.308015849613206 0.142364299197764
"Mu4389" 0.200150744006665 0.142364299197764
"EF1" 0.0271005494554036 0.142364299197764
"EF4" 0.0925898021376856 0.142364299197764
"EF6" 0.236254638298214 0.142364299197764
"EF14" 0.190622216216069 0.142364299197764
"EF15" 0.168637587866694 0.142364299197764
"D15" 0.199711724460636 0.142364299197764
"B22" 0.164936892390387 0.142364299197764
"TT20" 0.15880984104307 0.142364299197764
