"chi^2" "df" "Pr(chi^2 >)" "Pr.exact"
"Paur05" 109.323642217854 55 1.84209533468094e-05 0
"Mu4389" 75.8652957449428 6 2.54241072639161e-14 0
"EF1" 303.668544276875 3 0 0
"EF4" 23.0304852121554 15 0.0834947500364289 0.042
"EF6" 344.736408495719 120 0 0
"EF14" 72.5934323790994 66 0.269800539159641 0.031
"EF15" 285.327210824302 153 4.77198613957341e-10 0
"D15" 1602.81107552225 36 0 0
"B22" 12.4493402684078 1 0.000418139488094438 0.001
"TT20" 128.572713645895 15 0 0
